id;title;author;fine_amount;publisher;quantity
1;Table Fish;Dynamic programming;17159;real-time;98206
2;Developer radical Configuration;intuitive Center Georgia;51293;Designer connect;55737
3;Accountability;synthesizing Developer;37516;Paradigm Optimization calculating;58587
4;connecting;Soft;88069;Points violet;64656
5;override;programming cross-platform Consultant;48812;Developer Fish;45473
6;turn-key Soft;navigating Ergonomic Territory;39769;Health Tools CSS;76477
7;Chicken back-end;monitor SQL Product;92808;Checking Developer;13668
8;next-generation;Table Sleek input;33491;Nebraska South;71840
9;neural-net Dynamic;monitor;56810;Toys;59489
10;Health Paradigm;payment secondary quantify;75214;Health Cambridgeshire;70417
